Survey ID,Device Identity,User Name,Package Name,Sandbox Name,Timestamp,Time Zone,On Route,Sighting Count,Track Segments,Track Length,Track Time,Pause Time (s),Adult male,Adult NON-lactating female,Adult Lactating female,Adult unknown sex,Puppy,Entire,Neutered,Unknown,Free-roaming collared,Free-roaming NO collar,Confined in yard,On chain or lead,Inside house,Healthy,Sick or injured,Unknown health,Skin disease,Wound,Underweight or thin,TVT,Mange,Lameness / facture,Other,Dogs per km,Notes
5379,2201,Mike Dower,WVS data import KK06,KK 06,"28 August 24, 00:35",+01:00,38,38,1,5756.787331,2220,0,18,20,0,0,0,6,32,0,15,19,4,0,0,38,0,0,0,0,0,0,0,0,0,6.6,"day 2, WVS import, walking, no rain"
5421,2201,Mike Dower,WVS data import KK06,KK 06,"8 October 21, 00:40",+01:00,35,35,1,5609.531303,2640,0,18,14,0,1,2,24,9,2,27,2,5,0,0,31,3,1,2,0,2,0,0,0,0,6.24,"day 2, WVS import, walking, no rain, semi-urban"
4805,2201,Mike Dower,WVS import KK07,KK 07,"28 February 23, 00:57",+01:00,5,5,1,654.3172378,360,0,1,4,0,0,0,1,0,4,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,7.64,"Day 1, WVS import, 4-wheeler, no rain, rural"
4806,2201,Mike Dower,WVS import KK07,KK 07,"7 October 21, 00:31",+01:00,7,7,1,700.7115586,1320,0,1,6,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,9.99,"Day 1, WVS import, 4-wheeler, no rain, rural"
4807,2201,Mike Dower,WVS import KK07,KK 07,"27 August 24, 00:41",+01:00,5,5,1,660.2486161,300,0,1,4,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7.57,"Day 1, WVS import, 2-wheeler, no rain, semi-urban"
4814,2201,Mike Dower,WVS import KK07,KK 07,"8 October 21, 00:26",+01:00,13,13,1,708.1627784,720,0,8,5,0,0,0,11,2,0,11,0,2,0,0,13,0,0,0,0,0,0,0,0,0,18.36,"Day 2, WVS import, walking, no rain"
4815,2201,Mike Dower,WVS import KK07,KK 07,"1 March 23, 00:56",+01:00,5,5,1,1751.428311,240,0,1,4,0,0,0,0,1,4,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,2.85,"Day 2, WVS import, 4-wheeler, no rain"
4816,2201,Mike Dower,WVS import KK07,KK 07,"28 August 24, 00:28",+01:00,5,5,1,675.1148581,180,0,1,4,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7.41,"Day 2, WVS import, walking, no rain"
5178,2201,Mike Dower,WVS import TC12,TC 12,"17 March 23, 00:15",+01:00,27,27,1,5317.433999,2460,0,11,14,0,0,2,23,0,4,4,22,1,0,0,25,1,1,1,0,0,0,0,0,0,5.08,WVS import no rain semi-urban 4-wheeler
5179,2201,Mike Dower,WVS import TC12,TC 12,"10 September 24, 00:10",+01:00,18,18,1,5302.52357,1500,0,8,9,1,0,0,6,11,1,9,9,0,0,0,16,2,0,1,0,0,0,0,0,1,3.39,WVS import no rain semi-urban walking
5416,2201,Mike Dower,WVS import TC12,TC 12,"18 March 23, 00:28",+01:00,19,19,1,5313.548091,1440,0,11,7,0,0,1,17,1,1,8,11,0,0,0,15,2,2,1,0,0,0,0,0,1,3.58,"day 2, 4-wheeler, no_rain"
5417,2201,Mike Dower,WVS import TC12,TC 12,"10 September 24, 00:18",+01:00,15,15,1,5337.32513,960,0,5,9,1,0,0,4,11,0,10,4,1,0,0,14,0,1,0,0,0,0,0,0,0,2.81,"day 2, walking, no_rain"
5182,2201,Mike Dower,WVS import TC 16,TC 16,"17 March 23, 01:00",+01:00,38,38,1,3913.895377,1920,0,22,13,0,0,3,31,7,0,15,19,4,0,0,35,2,1,1,0,0,0,0,1,0,9.71,WVS data import semi-urban bicycle no rain
5184,2201,Mike Dower,WVS import TC 16,TC 16,"18 March 23, 00:56",+01:00,31,31,1,3915.616865,1140,0,17,11,0,0,3,27,4,0,20,3,7,1,0,31,0,0,0,0,0,0,0,0,0,7.92,WSV data import 4-wheeler no rain
5191,2201,Mike Dower,WVS import TC 16,TC 16,"11 September 24, 00:34",+01:00,21,21,1,4153.381274,1020,0,9,12,0,0,0,3,18,0,12,1,8,0,0,21,0,0,0,0,0,0,0,0,0,5.06,WVS data import walking no rain day 2
5192,2201,Mike Dower,WVS import TC 16,TC 16,"10 September 24, 00:36",+01:00,23,23,1,3975.836669,1380,0,9,14,0,0,0,3,20,0,2,12,8,1,0,23,0,0,0,0,0,0,0,0,0,5.78,WVS data import semi-urban walking no rain day 1
5187,2201,Mike Dower,WVS import TC 20,TC 20,"17 March 23, 01:39",+01:00,13,13,1,7244.619701,1560,0,6,5,0,0,2,12,0,1,11,2,0,0,0,9,1,3,1,0,0,0,0,0,0,1.79,WVS data import semi-urban 4-wheeler no rain
5188,2201,Mike Dower,WVS import TC 20,TC 20,"10 September 24, 00:55",+01:00,8,8,1,7244.619701,900,0,4,3,0,0,1,2,5,1,6,2,0,0,0,7,1,0,1,0,0,0,0,0,0,1.1,WVS data import semi-urban walking no rain
5189,2201,Mike Dower,WVS import TC 20,TC 20,"18 March 23, 01:22",+01:00,14,14,1,7244.46068,1860,0,5,7,1,0,1,12,2,0,8,6,0,0,0,13,1,0,0,0,0,0,0,1,0,1.93,WVS data import semi-urban 4-wheeler no rain
5190,2201,Mike Dower,WVS import TC 20,TC 20,"11 September 24, 00:52",+01:00,16,16,1,10792.51976,780,0,5,10,1,0,0,7,9,0,11,4,1,0,0,15,0,1,0,0,0,0,0,0,0,1.48,WVS data import semi-urban walking no rain
5195,2285,Mike,WVS import TC 24,TC 24,"10 September 24, 01:15",+01:00,14,14,1,11126.60687,780,0,4,8,0,0,2,4,9,1,9,5,0,0,0,13,1,0,1,0,0,0,0,0,0,1.26,WVS data import semi-urban walking no rain day 1
5198,2201,Mike Dower,WVS import TC 24,TC 24,"11 September 24, 01:12",+01:00,24,24,1,15480.32346,2160,0,9,15,0,0,0,4,20,0,13,1,10,0,0,24,0,0,0,0,0,0,0,0,0,1.55,WVS data import semi-urban walking no rain day 2
5200,2287,Siri and Kidsada,WVS import TC 24,TC 24,"17 March 23, 02:00",+01:00,10,10,1,11153.05795,4860,0,3,7,0,0,0,8,1,1,5,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0.9,WVS data import combined data from 2 surveyors 2-wheelers no rain day 1
5201,2287,Siri and Kidsada,WVS import TC 24,TC 24,"18 March 23, 01:50",+01:00,26,26,1,11250.32987,1860,0,9,15,0,0,2,19,3,4,10,16,0,0,0,26,0,0,0,0,0,0,0,0,0,2.31,WVS data import combined data from 2 surveyors 2-wheelers no rain day 2
