Survey ID,Device Identity,User Name,Package Name,Sandbox Name,Timestamp,Latitude,Longitude,Altitude,Accuracy,On Route,Sighting Latitude,Sighting Longitude,Observer-Sighting Distance (m),Transect-Sighting Distance (m),Deleted,Adult male,Adult NON-lactating female,Adult Lactating female,Adult unknown sex,Puppy,Entire,Neutered,Unknown,Free-roaming collared,Free-roaming NO collar,Confined in yard,On chain or lead,Inside house,Healthy,Sick or injured,Unknown health,Skin disease,Wound,Underweight or thin,TVT,Mange,Lameness / facture,Other,Notes
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4795,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-07T00:09:00+01:00,14.18003248,101.326307,0,0,1,14.18003248,101.326307,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4797,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2024-08-27T00:29:15+01:00,14.17800964,101.3267888,0,0,1,14.17800964,101.3267888,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4797,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2024-08-27T00:30:15+01:00,14.17759321,101.3271067,0,0,1,14.17759321,101.3271067,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4797,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2024-08-27T00:32:57+01:00,14.17639869,101.3277041,0,0,1,14.17639869,101.3277041,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4797,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2024-08-27T00:33:25+01:00,14.17628247,101.3277075,0,0,1,14.17628247,101.3277075,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
4800,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2023-03-02T00:22:20+01:00,14.1799536,101.3263153,0,0,1,14.1799536,101.3263153,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
4800,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2023-03-02T00:22:20+01:00,14.1799536,101.3263153,0,0,1,14.1799536,101.3263153,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
4800,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2023-03-02T00:22:20+01:00,14.1799536,101.3263153,0,0,1,14.1799536,101.3263153,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
4800,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2023-03-02T00:22:20+01:00,14.1799536,101.3263153,0,0,1,14.1799536,101.3263153,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
4800,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2023-03-02T00:50:40+01:00,14.17500363,101.3277094,0,0,1,14.17500363,101.3277094,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
4800,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2023-03-02T00:50:40+01:00,14.17500363,101.3277094,0,0,1,14.17500363,101.3277094,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,unknown
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,new_dog
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,new_dog
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,new_dog
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,resight
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,resight
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,resight
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,resight
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,resight
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,new_dog
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,resight
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,resight
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,resight
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,unknown
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,resight
4820,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2021-10-08T00:08:00+01:00,14.18024646,101.3262838,0,0,1,14.18024646,101.3262838,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,resight
4821,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2023-03-01T00:22:20+01:00,14.1799536,101.3263153,0,0,1,14.1799536,101.3263153,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,new_dog
4821,2201,Mike Dower,WVS app data imports,Khok Kruat 01,2023-03-01T00:22:20+01:00,14.1799536,101.3263153,0,0,1,14.1799536,101.3263153,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,new_dog
